short_name,position,overall,wage_eur,age,height_cm,weight_kg,club_name,nationality_name
M. Reus,Midfield,85,95000.0,32,180,71,Borussia Dortmund,Germany
Diogo Leite,Defense,73,9000.0,22,188,73,SC Braga,Portugal
Pomares,Defense,69,5000.0,28,182,71,CD Tenerife,Spain
Sacramentinho,GoalKeeper,72,11000.0,37,188,77,Clube Atlético Mineiro,Brazil
I. Gharbi,Midfield,63,3000.0,17,167,58,Paris Saint-Germain,France
L. Colmenarez,Defense,61,500.0,32,176,74,Metropolitanos de Caracas FC,Venezuela
M. Popa,GoalKeeper,60,500.0,20,190,82,FC Voluntari,Romania
M. Ulla,GoalKeeper,53,500.0,19,185,70,Stabæk Fotball,Norway
P. Becker,Midfield,63,3000.0,28,173,72,Club Atlético Aldosivi,Argentina
T. Mohr,Midfield,68,9000.0,25,183,78,1. FC Heidenheim 1846,Germany
Lee Chang Min,Midfield,69,4000.0,27,179,77,Jeju United FC,Korea Republic
B. Simakala,Offense,63,1000.0,24,180,76,VfL Osnabrück,Germany
A. Perry,Defense,61,2000.0,23,176,75,Scunthorpe United,England
M. Emilsen,Defense,51,500.0,18,186,78,Vålerenga Fotball,Norway
A. Büttner,Defense,69,4000.0,32,174,75,RKC Waalwijk,Netherlands
I. Amadou,Defense,75,23000.0,28,183,81,Sevilla FC,France
G. Gordillo,Defense,63,500.0,26,187,82,Universidad Técnica de Cajamarca,Guatemala
J. Branthwaite,Defense,66,9000.0,19,195,74,Everton,England
O. Cabral,GoalKeeper,69,500.0,36,186,82,12 de Octubre FC,Argentina
T. White,Defense,58,2000.0,24,178,74,Barrow,England
Dener,Midfield,72,16000.0,29,188,83,Al Tai,Brazil
L. Grant,GoalKeeper,65,11000.0,38,193,83,Manchester United,England
R. Pérez,Defense,71,9000.0,31,186,76,Club Atlético Talleres,Colombia
S. Hanca,Midfield,67,4000.0,29,182,80,Cracovia,Romania
E. Alioski,Defense,73,28000.0,29,172,63,Al Ahli,North Macedonia
Wei Minzhe,GoalKeeper,54,1000.0,22,193,78,Shenzhen FC,China PR
J. Giraudon,Defense,70,10000.0,29,184,66,ESTAC Troyes,France
T. Latteier,Midfield,60,2000.0,21,177,71,1. FC Nürnberg,Germany
D. Ojeda,GoalKeeper,55,500.0,20,192,80,AC Mineros de Guayana,Venezuela
J. Obika,Offense,64,2000.0,30,183,76,Morecambe,England
M. Pagliuca,Offense,60,3000.0,19,188,75,Bologna,Italy
S. Bendebka,Midfield,70,17000.0,28,181,72,Al Fateh,Algeria
V. González,Defense,63,800.0,27,180,78,Unión La Calera,Chile
D. Ovando,Offense,58,900.0,19,181,68,CD Huachipato,Ecuador
A. Okyere,Defense,56,700.0,18,180,72,K Beerschot VA,Ghana
Mosquera,Defense,74,11000.0,33,184,76,SD Huesca,Spain
V. Ayala,Defense,66,500.0,32,179,80,12 de Octubre FC,Paraguay
R. Ranftl,Midfield,73,12000.0,29,180,77,FC Schalke 04,Austria
Yao Hanlin,Midfield,56,1000.0,36,175,60,Wuhan FC,China PR
G. Michailidis,Defense,68,500.0,21,185,82,PAOK,Greece
N. Leyes,Defense,65,4000.0,31,179,78,Gimnasia y Esgrima La Plata,Argentina
L. Jakobi,Defense,57,550.0,19,177,70,Türkgücü München,Germany
A. Mabil,Offense,69,13000.0,25,179,65,FC Midtjylland,Australia
M. Koval,GoalKeeper,64,5000.0,28,189,79,Al Fateh,Ukraine
D. Høegh,Defense,68,10000.0,30,190,79,FC Midtjylland,Denmark
Adão Salvadaldo,Offense,69,8000.0,25,174,69,Club Athletico Paranaense,Brazil
S. Kvia-Egeskog,Midfield,54,500.0,18,176,73,Viking FK,Norway
W. Fitzgerald,Midfield,60,500.0,22,187,73,Derry City,Republic of Ireland
Steven Vitória,Defense,65,3000.0,34,195,88,Moreirense FC,Canada
T. Galván,Midfield,63,3000.0,21,172,65,River Plate,Argentina
A. Sanyang,Midfield,67,4000.0,22,173,69,K Beerschot VA,Gambia
A. Apostolopoulos,Defense,62,500.0,18,175,67,Olympiacos CFP,Greece
G. Parra,GoalKeeper,59,500.0,19,180,78,Metropolitanos de Caracas FC,Venezuela
Kim Young Kwang,GoalKeeper,68,1000.0,38,183,87,Seongnam FC,Korea Republic
Sergio Asenjo,GoalKeeper,83,37000.0,32,189,87,Villarreal CF,Spain
Klauss,Offense,72,22000.0,24,190,84,Standard de Liège,Brazil
A. Hansen,GoalKeeper,74,6000.0,31,189,87,Rosenborg BK,Norway
C. Garcia,Offense,52,550.0,18,170,64,Real Salt Lake,United States
L. Owusu,Defense,66,2000.0,24,174,68,Willem II,Netherlands
Piqué,Defense,84,175000.0,34,194,85,FC Barcelona,Spain
S. Fraser,Midfield,68,6000.0,26,183,69,Ipswich Town,Scotland
M. Gollner,Defense,66,3000.0,30,184,80,TSV Egger Glas Hartberg,Austria
M. Tomozei,Defense,63,2000.0,30,177,75,AFC UTA Arad,Romania
Enzo Chissano,Defense,77,36000.0,29,165,62,Palmeiras,Brazil
A. Sobiech,Offense,70,7000.0,31,184,75,Lech Poznań,Poland
J. Sambu Mansoni,Defense,62,3000.0,25,185,78,Seraing,Belgium
M. Opondo,Midfield,64,3000.0,23,174,72,Odense Boldklub,Uganda
D. Moreno,Defense,69,2000.0,29,181,77,Junior FC,Colombia
K. Tshiembe,Defense,66,4000.0,24,185,80,Brøndby IF,Denmark
N. Omladič,Midfield,66,4000.0,31,180,72,F.C. Hansa Rostock,Slovenia
Yoel,GoalKeeper,73,8000.0,32,185,78,SD Eibar,Spain
M. Bulat,Defense,69,500.0,19,178,68,Dinamo Zagreb,Croatia
C. Owens,Midfield,61,3000.0,23,185,80,Queens Park Rangers,Northern Ireland
R. Pop,GoalKeeper,53,850.0,22,185,77,AFC Chindia Târgoviște,Romania
Rubén Alcaraz,Defense,74,11000.0,30,183,81,Real Valladolid CF,Spain
L. Kouagba,Defense,64,2000.0,27,183,81,USL Dunkerque,France
A. Behich,Defense,69,7000.0,30,170,63,GZT Giresunspor,Australia
T. Abdullah,Defense,62,4000.0,25,170,64,Al Taawoun,Saudi Arabia
Borja Garcés,Offense,68,14000.0,21,183,71,CD Leganés,Spain
S. Eastwood,GoalKeeper,63,2000.0,32,188,90,Oxford United,England
F. Brustad,Midfield,64,1000.0,32,190,87,Mjøndalen IF,Norway
T. Siersleben,Defense,63,7000.0,21,187,80,1. FC Heidenheim 1846,Germany
O. Romeny,Offense,61,2000.0,21,185,81,N.E.C. Nijmegen,Netherlands
G. Ekpolo,Defense,68,2000.0,26,180,73,BK Häcken,Nigeria
D. Kulusevski,Offense,81,72000.0,21,186,75,Juventus,Sweden
N. Besler,Defense,66,2000.0,28,185,75,Real Salt Lake,United States
M. Al Baqawi,Defense,61,3000.0,25,170,69,Al Fayha,Saudi Arabia
S. Dieng,GoalKeeper,72,10000.0,26,193,90,Queens Park Rangers,Senegal
Rubén,Defense,66,2000.0,26,184,75,UD Ibiza,Spain
J. Gammelby,Offense,63,3000.0,26,192,82,Brøndby IF,Denmark
H. Traorè,Midfield,71,14000.0,21,177,68,U.S. Sassuolo Calcio,Côte d'Ivoire
N. Acevedo,Defense,72,9000.0,32,170,73,Godoy Cruz,Argentina
Dillson Teixeiro,Offense,63,4000.0,25,180,74,Cuiabá,Brazil
K. Przybyłko,Offense,73,9000.0,28,193,87,Philadelphia Union,Poland
A. Sadiku,Offense,68,5000.0,30,183,80,Unión Deportiva Las Palmas,Albania
E. Tagseth,Midfield,63,1000.0,20,171,67,Rosenborg BK,Norway
I. Vekič,GoalKeeper,62,1000.0,23,192,86,FC Paços de Ferreira,Slovenia
J. Hiwula,Midfield,63,3000.0,26,178,76,Doncaster Rovers,England
M. Ovejero,Offense,63,500.0,34,170,72,Club Always Ready,Argentina
M. Olsson,Defense,71,6000.0,33,178,80,Malmö FF,Sweden
G. Vicario,GoalKeeper,71,12000.0,24,188,76,Empoli,Italy
Lucas Leiva,Defense,81,64000.0,34,179,78,Lazio,Brazil
Y. Oyanedel,Defense,63,550.0,20,170,66,Unión La Calera,Chile
Liu Weiguo,GoalKeeper,57,3000.0,29,197,90,Guangzhou FC,China PR
A. Al Joui,Midfield,66,10000.0,26,171,67,Al Shabab,Saudi Arabia
M. Dárdai,Defense,69,9000.0,19,188,77,Hertha BSC,Germany
H. Lewis,GoalKeeper,62,6000.0,23,191,77,Southampton,England
T. Rotter,Defense,64,2000.0,29,188,79,TSV Egger Glas Hartberg,Austria
N. Sangaré,Defense,73,32000.0,27,185,72,Fenerbahçe SK,Turkey
C. Dundas,Offense,56,1000.0,40,188,89,Sutton United,England
Aldasoro,Midfield,64,1000.0,22,176,70,Real Sociedad B,Spain
P. Goltz,Defense,75,9000.0,36,184,82,Club Atlético Colón,Argentina
D. Royer,Midfield,72,7000.0,31,177,73,New York Red Bulls,Austria
A. Bah,Defense,75,800.0,23,183,76,SK Slavia Praha,Denmark
D. Erdmann,Defense,66,2000.0,30,189,86,1. FC Saarbrücken,Germany
R. Descamps,GoalKeeper,68,7000.0,25,196,82,FC Nantes,France
D. Margush,GoalKeeper,63,1000.0,23,187,80,Western Sydney Wanderers,Australia
T. Bakinson,Defense,66,9000.0,22,191,82,Bristol City,England
T. Vincensini,GoalKeeper,64,1000.0,27,184,79,SC Bastia,France
F. Jara,Offense,71,6000.0,32,180,77,FC Dallas,Argentina
J. Maddox,Midfield,62,2000.0,22,179,69,Burton Albion,England
D. Bielica,GoalKeeper,62,1000.0,22,191,80,Górnik Zabrze,Poland
D. Stumberger,Defense,60,2000.0,22,184,75,WSG Tirol,Croatia
Kiko Bondoso,Offense,70,4000.0,25,171,65,FC Vizela,Portugal
Salva Ferrer,Defense,67,5000.0,23,184,73,Spezia,Spain
M. Kaasa,Midfield,64,1000.0,23,175,69,Odds BK,Norway
K. Angielski,Offense,64,1000.0,25,177,70,Radomiak Radom,Poland
S. Bose,Defense,61,650.0,25,186,78,ATK Mohun Bagan FC,India
K. Acosta,Defense,71,5000.0,25,178,68,Colorado Rapids,United States
C. Malley,Midfield,53,3000.0,21,180,65,Middlesbrough,England
M. Urbańczyk,Defense,63,950.0,26,172,70,PGE FKS Stal Mielec,Poland
E. González,Defense,65,500.0,30,179,72,Club Atlético Rentistas,Uruguay
D. Kyereh,Midfield,71,12000.0,25,179,73,FC St. Pauli,Germany
R. Klingenburg,Midfield,65,2000.0,27,190,83,1. FC Kaiserslautern,Germany
A. Sarcevic,Midfield,65,3000.0,29,182,78,Bolton Wanderers,England
F. Bartels,Offense,74,24000.0,34,176,69,Holstein Kiel,Germany
L. Grill,GoalKeeper,69,13000.0,22,192,84,SK Brann,Germany
Gonçalo Inácio,Defense,76,7000.0,19,186,77,Sporting CP,Portugal
Lee Soo Bin,Defense,61,1000.0,21,180,70,Pohang Steelers,Korea Republic
J. Skahan,Midfield,55,1000.0,23,178,75,San Jose Earthquakes,United States
C. Kato,Midfield,59,900.0,22,175,72,Vegalta Sendai,Japan
P. Klewin,GoalKeeper,67,3000.0,27,192,86,FC Erzgebirge Aue,Germany
S. Mijnans,Midfield,66,2000.0,21,179,70,Sparta Rotterdam,Netherlands
R. Riou,GoalKeeper,68,2000.0,33,189,81,Stade Malherbe Caen,France
R. Deaconu,Midfield,68,4000.0,24,181,73,Gaz Metan Mediaş,Romania
R. Astley,Defense,62,6000.0,19,184,70,Everton,Wales
E. Taylor,Midfield,51,700.0,18,182,65,Sunderland,England
B. Ibini,Midfield,63,2000.0,28,190,85,Western Sydney Wanderers,Australia
E. Bove,Midfield,61,4000.0,19,174,65,Roma,Italy
D. Kolinger,Defense,66,3000.0,27,199,89,Vejle Boldklub,Croatia
Tiago Rodrigues,Midfield,71,15000.0,29,177,72,Al Hazem,Portugal
T. Richards,Midfield,66,11000.0,20,180,78,Brighton & Hove Albion,England
T. Loska,GoalKeeper,63,1000.0,25,189,85,Bruk-Bet Termalica Nieciecza,Poland
I. Conté,Defense,65,2000.0,25,191,82,Chamois Niortais Football Club,Guinea
N. Kastenhofer,Defense,59,700.0,22,185,75,Hallescher FC,Germany
C. Masterson,Defense,63,3000.0,22,185,75,Cambridge United,Republic of Ireland
Tan Long,Midfield,67,4000.0,33,185,77,Changchun Yatai FC,China PR
J. Tucker,Defense,67,2000.0,21,192,85,Gillingham,England
Adão Morrinhos,Offense,66,8000.0,29,177,73,Fluminense,Brazil
W. Endo,Defense,78,29000.0,28,178,76,VfB Stuttgart,Japan
K. Pierre,Defense,53,500.0,18,178,64,Sporting Kansas City,United States
A. Francke,Offense,57,900.0,19,180,72,AS Nancy Lorraine,France
A. Ljajić,Midfield,75,40000.0,29,182,80,Beşiktaş JK,Serbia
Zhang Junzhe,Defense,52,2000.0,30,181,76,Hebei FC,China PR
K. Rowe,Midfield,65,2000.0,29,173,68,Seattle Sounders FC,United States
B. Dejaegere,Midfield,72,6000.0,30,174,72,Toulouse Football Club,Belgium
E. Embleton,Midfield,63,3000.0,22,173,64,Sunderland,England
N. Hazazi,Defense,60,3000.0,28,175,70,Al Raed,Saudi Arabia
L. Hetemi,Defense,58,1000.0,21,170,67,Vejle Boldklub,Albania
J. Sargent,Offense,71,18000.0,21,185,79,Norwich City,United States
Cássinho,Midfield,63,850.0,28,177,75,Mumbai City FC,Brazil
D. Nugent,Defense,52,500.0,20,183,72,Longford Town,Republic of Ireland
D. Moberg Karlsson,Midfield,76,1000.0,27,177,75,AC Sparta Praha,Sweden
Mexer,Defense,72,17000.0,32,186,80,FC Girondins de Bordeaux,Mozambique
T. Smith,Defense,71,18000.0,29,186,84,Stoke City,England
T. Buchanan,Defense,68,9000.0,22,183,69,New England Revolution,Canada
M. Sitek,Midfield,61,600.0,20,174,66,PGE FKS Stal Mielec,Poland
A. Bangura,Defense,66,2000.0,21,183,75,SC Cambuur,Netherlands
T. Loridan,Defense,55,500.0,18,185,73,USL Dunkerque,France
N. Yamada,Midfield,65,1000.0,30,168,64,Shonan Bellmare,Japan
Leo Román,GoalKeeper,65,3000.0,21,185,78,RCD Mallorca,Spain
B. Henrichs,Defense,76,46000.0,24,183,79,RB Leipzig,Germany
B. Tabla,Midfield,62,1000.0,22,174,69,Club de Foot Montréal,Canada
J. Villafuerte,GoalKeeper,55,500.0,22,186,70,Club Social y Deportivo Macará,Ecuador
B. Wembangomo,Defense,64,950.0,24,181,75,Sandefjord Fotball,Norway
Pan Long,GoalKeeper,50,700.0,21,188,83,Chongqing Liangjiang Athletic,China PR
P. Bardsley,Defense,71,14000.0,36,180,79,Burnley,Scotland
T. Plavotic,Defense,64,2000.0,24,197,92,SV Ried,Croatia
D. Vukovic,GoalKeeper,74,6000.0,36,187,95,N.E.C. Nijmegen,Australia
Dentinho,Offense,71,750.0,32,176,75,Shakhtar Donetsk,Brazil
Y. Suzuki,Offense,72,12000.0,25,182,75,Sint-Truidense VV,Japan
M. Sprang,GoalKeeper,58,500.0,20,192,79,FSV Zwickau,Germany
S. Chakrabarti,Defense,54,500.0,29,172,71,Hyderabad FC,India
L. Koscielny,Defense,78,19000.0,35,186,80,FC Girondins de Bordeaux,France
F. Chamorro,Midfield,59,500.0,19,184,72,Club Deportivo Palestino,Chile
T. Payne,Defense,66,2000.0,27,179,73,Wellington Phoenix,New Zealand
F. Krebs,Midfield,58,750.0,22,188,71,Borussia Dortmund II,Germany
A. Landázuri,Defense,65,500.0,24,178,73,Independiente del Valle,Ecuador
Pablo Santos,Defense,74,13000.0,29,188,83,Moreirense FC,Brazil
E. Moore,Defense,66,3000.0,24,197,92,Oxford United,England
O. Schönfelder,Offense,62,2000.0,20,181,74,SV Werder Bremen,Germany
Kim Geon Woong,Defense,63,1000.0,23,185,81,Suwon FC,Korea Republic
T. Cantoro,Offense,60,500.0,20,177,75,Club Universitario de Deportes,Argentina
F. Hurtado,GoalKeeper,65,600.0,38,188,90,CD Antofagasta,Chile
A. Pinamonti,Offense,68,28000.0,22,188,72,Empoli,Italy
B. Yardımcı,Defense,67,6000.0,28,179,71,İttifak Holding Konyaspor,Turkey
H. Reed,Defense,74,41000.0,26,175,72,Fulham,England
H. Sobol,Offense,57,1000.0,21,183,74,Wisła Kraków,Poland
J. Agudelo,Midfield,66,3000.0,28,185,83,Minnesota United FC,United States
I. Jome,Defense,65,2000.0,26,185,73,Portland Timbers,Gambia
K. Bielik,Defense,72,9000.0,23,194,78,Derby County,Poland
R. Falk,Midfield,75,21000.0,29,177,65,F.C. København,Denmark
D. Watmore,Offense,68,13000.0,27,175,72,Middlesbrough,England
Luiz Júnior,GoalKeeper,66,1000.0,20,194,88,Futebol Clube de Famalicão,Brazil
N. Fiedosewicz,Defense,55,550.0,23,174,70,Warta Poznań,Poland
M. Trapp,Defense,67,2000.0,29,190,87,VfL Osnabrück,Germany
A. Türkaslan,GoalKeeper,63,2000.0,26,188,83,Yeni Malatyaspor,Turkey
V. Lobry,Defense,68,3000.0,26,181,74,Pau FC,France
A. Al Zain,Offense,63,5000.0,29,182,65,Al Raed,Saudi Arabia
J. Gazibegović,Defense,67,5000.0,21,174,67,SK Sturm Graz,Bosnia and Herzegovina
J. Falkingham,Midfield,63,3000.0,30,168,64,Harrogate Town,England
W. Boly,Defense,79,76000.0,30,195,97,Wolverhampton Wanderers,Côte d'Ivoire
S. Biuk,Midfield,68,500.0,18,182,70,Hajduk Split,Croatia
M. Kaye,Defense,71,6000.0,26,186,77,Colorado Rapids,Canada
Ilie Sánchez,Defense,73,7000.0,30,180,75,Sporting Kansas City,Spain
N. Featherstone,Defense,62,2000.0,32,170,71,Hartlepool United,England
S. Dooley,Midfield,63,2000.0,29,180,80,Rochdale,Northern Ireland
Nuno Lima,Defense,61,1000.0,20,184,76,FC Paços de Ferreira,Portugal
J. Dodd,Midfield,52,2000.0,20,170,65,Exeter City,England
O. Salomón,Defense,64,3000.0,22,181,82,Club Atlético Central Córdoba,Argentina
M. Bartolewski,Defense,63,2000.0,23,187,76,Zagłębie Lubin,Poland
Eder González,Midfield,61,2000.0,24,171,66,Sepsi OSK Sf. Gheorghe,Spain
R. Freuler,Midfield,80,58000.0,29,180,80,Atalanta,Switzerland
J. Muldoon,Offense,64,4000.0,32,178,69,Harrogate Town,England
A. Fuentes,Defense,69,3000.0,23,195,85,CF Fuenlabrada,Peru
Raúl Albiol,Defense,82,30000.0,35,190,82,Villarreal CF,Spain
S. Fujiwara,Midfield,61,700.0,20,170,63,Tokushima Vortis,Japan
Miguel Baeza,Midfield,69,8000.0,21,177,76,RC Celta de Vigo,Spain
Y. Kaabouni,Defense,64,2000.0,26,179,66,FC Sochaux-Montbéliard,France
L. Bergström,GoalKeeper,54,1000.0,18,200,84,Chelsea,Finland
M. Ndayishimiye,Midfield,72,11000.0,22,172,64,KRC Genk,Belgium
Lee Chan Dong,Midfield,63,1000.0,28,183,80,GwangJu FC,Korea Republic
Yang Zihao,Defense,52,2000.0,20,180,79,Tianjin Jinmen Tiger FC,China PR
Wang Ziming,Offense,61,3000.0,24,187,81,Beijing Guoan FC,China PR
Víctor Vázquez,Midfield,72,7000.0,34,175,75,LA Galaxy,Spain
M. Bogado,Defense,70,5000.0,36,171,68,Platense,Argentina
D. Biseswar,Midfield,75,1000.0,33,176,79,PAOK,Suriname
E. Shlyakov,Defense,63,2000.0,29,184,78,AFC UTA Arad,Russia
D. Vida,Defense,78,42000.0,32,184,76,Beşiktaş JK,Croatia
T. Fosu,Offense,71,29000.0,25,172,67,Brentford,Ghana
O. Gaines,Midfield,62,1000.0,23,181,74,Austin FC,United States
Camarasa,Midfield,72,16000.0,27,183,77,Real Betis Balompié,Spain
A. Gürleyen,Defense,63,2000.0,22,193,93,SV Wehen Wiesbaden,Germany
J. Amoah,Midfield,66,3000.0,27,177,69,Vitória de Guimarães,Ghana
D. Akpeyi,GoalKeeper,74,500.0,35,189,86,Kaizer Chiefs,Nigeria
A. Zambo Anguissa,Defense,76,49000.0,25,184,78,Napoli,Cameroon
M. Berisha,Offense,75,40000.0,23,186,79,Fenerbahçe SK,Germany
S. Verdi,Midfield,75,42000.0,28,174,72,Torino F.C.,Italy
H. Douglas,Defense,57,500.0,28,191,85,Drogheda United,Republic of Ireland
C. Abi,Offense,67,9000.0,21,187,71,En Avant de Guingamp,France
L. Hernández,Defense,83,85000.0,25,184,79,FC Bayern München,France
L. Bünning,Defense,64,550.0,23,187,78,SV Meppen,Germany
K. Ezekwem,Defense,63,4000.0,20,188,79,Sport-Club Freiburg,Germany
Sancet,Midfield,73,17000.0,21,188,72,Athletic Club de Bilbao,Spain
C. Songkrasin,Offense,71,5000.0,27,158,56,Hokkaido Consadole Sapporo,Thailand
Hugo Sousa,Defense,66,4000.0,29,183,79,Sepsi OSK Sf. Gheorghe,Portugal
P. Bjur,Defense,64,2000.0,21,180,78,Brøndby IF,Denmark
I. Davies,Offense,57,4000.0,19,175,65,Cardiff City,Wales
J. Hyland,Midfield,58,500.0,25,179,71,Drogheda United,Republic of Ireland
E. Takeda,Defense,64,1000.0,32,173,71,Yokohama FC,Japan
A. Sarr,Midfield,62,2000.0,30,175,72,Gaz Metan Mediaş,Senegal
G. Fratta,Defense,67,5000.0,25,188,78,Gimnasia y Esgrima La Plata,Uruguay
Marquinhos,Defense,87,135000.0,27,183,75,Paris Saint-Germain,Brazil
B. Reeves,Midfield,62,2000.0,29,172,67,Gillingham,Northern Ireland
P. Michorl,Midfield,72,19000.0,26,176,71,LASK Linz,Austria
I. Schranz,Midfield,74,1000.0,27,185,73,SK Slavia Praha,Slovakia
E. Wahi,Midfield,70,6000.0,18,184,74,Montpellier Hérault SC,France
D. Oroz,Defense,60,2000.0,20,192,75,Vitesse,Croatia
Adeilson Gesser,Midfield,70,9000.0,29,175,70,Bahia,Brazil
S. Shashoua,Midfield,69,5000.0,22,170,65,CD Tenerife,England
N. Otamendi,Defense,81,18000.0,33,183,76,SL Benfica,Argentina
Pedro Silva,GoalKeeper,65,1000.0,24,189,76,FC Vizela,Portugal
H. Al Jubairi,Defense,57,3000.0,29,176,69,Al Tai,Saudi Arabia
Nilton Varela,Defense,68,2000.0,20,182,76,Belenenses SAD,Portugal
Ximo Navarro,Defense,74,19000.0,31,176,75,Deportivo Alavés,Spain
A. Pérez,Defense,70,8000.0,27,181,73,GZT Giresunspor,Colombia
A. Walkes,Defense,67,2000.0,24,187,83,Atlanta United,England
N. Kreuzer,Midfield,65,1000.0,28,178,76,Hallescher FC,Germany
Song Long,Defense,60,3000.0,31,180,72,Shandong Taishan,China PR
C. Krempicki,Midfield,62,1000.0,26,178,78,1. FC Magdeburg,Germany
A. Sanabria,Offense,74,36000.0,25,181,73,Torino F.C.,Paraguay
Elady,Midfield,69,6000.0,30,176,75,CD Tenerife,Spain
Silaldo Taffarel,Midfield,67,10000.0,29,181,80,Sport Club Corinthians Paulista,Brazil
J. Wójcicki,Defense,63,2000.0,32,189,80,Zagłębie Lubin,Poland
K. Lankford,Midfield,64,2000.0,22,184,83,SV Wehen Wiesbaden,Germany
Edercinho Sepa,Defense,74,16000.0,21,179,76,Grêmio,Brazil
K. Zouma,Defense,81,75000.0,26,190,95,West Ham United,France
Z. Görgen,GoalKeeper,63,1000.0,21,188,79,Çaykur Rizespor,Turkey
M. Ortega,GoalKeeper,65,8000.0,26,193,74,Tigres U.A.N.L.,Mexico
L. Nieuwpoort,Defense,60,1000.0,26,189,70,RKC Waalwijk,Netherlands
D. Theodorou,Offense,62,500.0,23,175,69,APOEL Nicosia FC,Cyprus
D. Poha,Midfield,66,3000.0,24,173,68,Vitória de Guimarães,France
M. Kruse,Midfield,81,45000.0,33,180,76,1. FC Union Berlin,Germany
Nacho Méndez,Midfield,68,4000.0,23,178,77,Real Sporting de Gijón,Spain
K. Saab,Defense,59,500.0,20,178,72,AC Mineros de Guayana,Venezuela
L. Cano,Midfield,65,500.0,21,167,64,Sociedad Deportiva Aucas,Ecuador
S. Nagasawa,Offense,67,2000.0,32,192,82,Oita Trinita,Japan
E. Lamela,Midfield,78,30000.0,29,184,80,Sevilla FC,Argentina
S. Ando,GoalKeeper,60,2000.0,30,185,81,Kawasaki Frontale,Japan
E. Taha,Offense,61,2000.0,22,174,70,En Avant de Guingamp,France
N. Teichgräber,Defense,63,500.0,25,178,73,TSV Havelse,Germany
L. Klostermann,Defense,80,67000.0,25,187,88,RB Leipzig,Germany
J. Bond,GoalKeeper,68,3000.0,28,193,84,LA Galaxy,England
L. Barraza,GoalKeeper,57,850.0,24,187,88,New York City FC,United States
F. Otto,Defense,59,2000.0,19,192,78,Hallescher FC,Germany
B. Ganesan,Defense,48,500.0,19,162,52,Chennaiyin FC,India
Aurélio Buta,Defense,74,15000.0,24,171,66,Royal Antwerp FC,Portugal
J. Moder,Defense,70,22000.0,22,188,78,Brighton & Hove Albion,Poland
M. Connor,GoalKeeper,56,500.0,24,192,82,Waterford FC,Republic of Ireland
J. Jiménez,Defense,61,500.0,26,186,78,Guayaquil City FC,Ecuador
J. Melhado,Defense,53,2000.0,20,178,70,Salford City,England
J. Malagón,Defense,66,1000.0,28,185,77,América de Cali,Colombia
Zé Luís,Offense,77,51000.0,30,184,80,FC Lokomotiv Moscow,Cape Verde Islands
E. Sutherland,Midfield,62,1000.0,21,176,70,Atlético de Madrid,England
Cong Zhen,Defense,56,2000.0,24,180,75,Tianjin Jinmen Tiger FC,China PR
R. Dadok,Defense,59,1000.0,24,184,78,Górnik Zabrze,Poland
E. Adebayo,Offense,68,6000.0,23,193,89,Luton Town,England
Jójó,Defense,62,950.0,20,186,80,Belenenses SAD,Portugal
A. Blanco,GoalKeeper,69,9000.0,33,182,88,Club León,Mexico
Hong Si Hoo,Offense,60,850.0,20,173,68,Seongnam FC,Korea Republic
C. Zambrano,Defense,74,14000.0,31,185,77,Boca Juniors,Peru
K. Toko Ekambi,Offense,78,68000.0,28,185,74,Olympique Lyonnais,Cameroon
E. Álvarez,Defense,77,14000.0,23,187,73,Ajax,Mexico
C. Bramall,Defense,65,3000.0,25,178,72,Lincoln City,England
Lee Ki Je,Defense,68,3000.0,29,175,68,Suwon Samsung Bluewings,Korea Republic
F. Campbell,Offense,67,4000.0,33,172,80,Huddersfield Town,England
G. Lezcano,Midfield,70,8000.0,34,170,67,Universidad Católica,Argentina
F. Cambeses,GoalKeeper,66,3000.0,24,184,80,Club Atlético Banfield,Argentina
Cláudio Winck,Defense,69,5000.0,27,184,77,Clube Sport Marítimo,Brazil
M. Icardi,Offense,83,120000.0,28,181,75,Paris Saint-Germain,Argentina
L. Barreiro Martins,Defense,72,13000.0,21,174,67,1. FSV Mainz 05,Luxembourg
A. D'Alberto,Defense,72,11000.0,26,178,69,Aarhus GF,Belgium
K. Nwakali,Defense,67,4000.0,23,180,76,SD Huesca,Nigeria
A. Král,Defense,75,37000.0,23,186,76,West Ham United,Czech Republic
Dodi,Defense,68,5000.0,25,169,67,Kashiwa Reysol,Brazil
P. Pérez,Defense,72,9000.0,35,179,75,Newell's Old Boys,Argentina
V. Molchan,Defense,58,750.0,20,188,72,Stade Malherbe Caen,Russia
S. Berghuis,Offense,81,26000.0,29,182,75,Ajax,Netherlands
T. Kishimoto,Defense,65,1000.0,23,174,66,Tokushima Vortis,Japan
P. Hamel,Offense,71,14000.0,27,189,76,Clermont Foot 63,France
C. Odoi-Atsem,Defense,62,1000.0,26,178,68,D.C. United,United States
S. Skrbo,Offense,54,2000.0,20,175,65,WSG Tirol,Austria
L. Hawryluk,GoalKeeper,57,500.0,20,192,82,SV Waldhof Mannheim 07,Germany
B. Mansilla,Offense,68,7000.0,24,180,78,Platense,Argentina
Asumah Abubakar,Offense,67,4000.0,24,183,71,FC Lugano,Portugal
L. Griffiths,Offense,70,29000.0,30,174,77,Dundee FC,Scotland
J. Gómez,Midfield,71,9000.0,31,171,68,Argentinos Juniors,Argentina
Y. Higuchi,Midfield,65,1000.0,24,168,65,Sagan Tosu,Japan
